stratum,context,combination,architecture_label,trait_name,support_tier,threshold,model,status,n_unique_islands,n_clusters,median_trials,distance_estimate,distance_se,distance_p,selfing_core_estimate,selfing_core_se,selfing_core_p,distance_q
all_observed,northern_high_latitude,red_pink__bird_deep_tube_given_colour,bird_associated_intermediate_deep_tube,tube_depth_class,pilot,30,conditional_selfing,fit,204,42,5.0,0.13493535334952667,0.1681219011850432,0.42220350787016325,0.15224587943929463,0.12393364442459666,0.21927931731371753,0.45468070078325273
all_observed,northern_high_latitude,yellow_orange__bird_deep_tube_given_colour,bird_associated_intermediate_deep_tube,tube_depth_class,confirmatory,50,unconditional,fit,200,46,7.0,0.16914219262676822,0.14001450504369398,0.22703443166712564,,,,0.2648735036116466
all_observed,northern_high_latitude,yellow_orange__bird_deep_tube_given_colour,bird_associated_intermediate_deep_tube,tube_depth_class,confirmatory,50,conditional_selfing,fit,192,44,7.0,0.15922207886786754,0.13489227749125324,0.2378552065172485,0.040607537715617203,0.18274207866666173,0.8241486189942221,0.3027248082946799
all_observed,northern_high_latitude,yellow_orange__bird_deep_tube_given_colour,bird_associated_intermediate_deep_tube,tube_depth_class,pilot,30,unconditional,fit,200,46,7.0,0.16914219262676822,0.14001450504369398,0.22703443166712564,,,,0.2648735036116466
all_observed,northern_high_latitude,yellow_orange__bird_deep_tube_given_colour,bird_associated_intermediate_deep_tube,tube_depth_class,pilot,30,conditional_selfing,fit,192,44,7.0,0.15922207886786754,0.13489227749125324,0.2378552065172485,0.040607537715617203,0.18274207866666173,0.8241486189942221,0.3027248082946799
all_observed,northern_high_latitude,blue_purple__large_bee_form_given_colour,large_bee_associated_form,floral_form,confirmatory,50,unconditional,fit,294,57,5.0,-0.04883293625854812,0.03615329324905643,0.17678549765077478,,,,0.24749969671108468
all_observed,northern_high_latitude,blue_purple__large_bee_form_given_colour,large_bee_associated_form,floral_form,confirmatory,50,conditional_selfing,fit,289,56,6.0,-0.03552316863644766,0.032849195251991495,0.27951855989190416,-0.1657543057105493,0.09738337669855508,0.08874035733753965,0.32610498654055486
all_observed,northern_high_latitude,blue_purple__large_bee_form_given_colour,large_bee_associated_form,floral_form,pilot,30,unconditional,fit,294,57,5.0,-0.04883293625854812,0.03615329324905643,0.17678549765077478,,,,0.24749969671108468
all_observed,northern_high_latitude,blue_purple__large_bee_form_given_colour,large_bee_associated_form,floral_form,pilot,30,conditional_selfing,fit,289,56,6.0,-0.03552316863644766,0.032849195251991495,0.27951855989190416,-0.1657543057105493,0.09738337669855508,0.08874035733753965,0.32610498654055486
all_observed,northern_high_latitude,yellow_orange__large_bee_form_given_colour,large_bee_associated_form,floral_form,confirmatory,50,unconditional,fit,271,55,9.0,-0.10741859002428081,0.06022635103886513,0.07449173579216894,,,,0.1489834715843379
all_observed,northern_high_latitude,yellow_orange__large_bee_form_given_colour,large_bee_associated_form,floral_form,confirmatory,50,conditional_selfing,fit,260,54,10.0,-0.11421990828161577,0.05923278164872403,0.05381501922310194,0.09300822063574854,0.0693013394273076,0.17956875261313632,0.10763003844620388
