source_row_number,Reference,PubYear,Family,Genus,species,Genus species,Monocot/Dicot/Gymno,"Lform(0=ann,1=Hper,2=Wper)","Pollination(0=anim,1=wind,2=water)",MarkerType,nMarkers,"PopType (0=natural, 1= experimental, 2=seed orchard, 3=agricultural)",nPops(t),Mean-tm,Mean ts,Upper-tm,Where-t,nPops(F),Mech of selfing,Use for t & F?,Mean-F,Lower-F,Upper-F,Where-F,Reference.1
252,Brown et al. 1985,1985,Myrtaceae,Eucalyptus,grandis,Eucalyptus  grandis,D,2,0,I,6,0,2,0.84,,,Table 5,,,0,,,,,"Brown, A. H. D., S. C. H. Barrett, and G. Morgan. 1985. Mating system estimation in forest trees:  models, methods and meetings. Proceedings of the meeting of the IUFRO Working Party ""Ecological and Popualation Genetics"", Goettingen, Germany"
253,Brown et al. 1985,1985,Myrtaceae,Eucalyptus,regnans,Eucalyptus  regnans,D,2,0,I,4,0,1,0.69,,,Table 5,,,0,,,,,"Brown, A. H. D., S. C. H. Barrett, and G. Morgan. 1985. Mating system estimation in forest trees:  models, methods and meetings. Proceedings of the meeting of the IUFRO Working Party ""Ecological and Popualation Genetics"", Goettingen, Germany"
254,Brown et al. 1985,1985,Myrtaceae,Eucalyptus,saligna,Eucalyptus saligna,D,2,0,I,6,0,1,0.77,,,Table 5,,,0,,,,,"Brown, A. H. D., S. C. H. Barrett, and G. Morgan. 1985. Mating system estimation in forest trees:  models, methods and meetings. Proceedings of the meeting of the IUFRO Working Party ""Ecological and Popualation Genetics"", Goettingen, Germany"
255,Brown et al. 1985,1985,Myrtaceae,Eucalyptus,stelluata,Eucalyptus  stelluata,D,2,0,I,4,0,1,0.8,,,Table 3,,,0,,,,,"Brown, A. H. D., S. C. H. Barrett, and G. Morgan. 1985. Mating system estimation in forest trees:  models, methods and meetings. Proceedings of the meeting of the IUFRO Working Party ""Ecological and Popualation Genetics"", Goettingen, Germany"
256,"Brown et al. 1985, Brown et al. 1985","1985, 1985",Myrtaceae,Eucalyptus,grandis,Eucalyptus  grandis,D,2,0,I&U,6,0&2,3,0.785,0.84,0.967,"Table 5, Table 3",,,0,,,,,Species summary
257,"Brown et al. 1985, Brown et al. 1985, Brown et al. 1985, Brown et al. 1985","1985, 1985, 1985, 1985",Myrtaceae,Eucalyptus,regnans,Eucalyptus  regnans,D,2,0,I,,0&2,5,0.7849999999999999,0.52,0.69,"Table 5, Table 3, Table 5, Table 3",,,0,,,,,Species summary
258,Butcher & Williams 2002,2002,Myrtaceae,Eucalyptus,camaldulensis,Eucalyptus  camaldulensis,D,2,0,I,11,0,4,0.9527,0.912,0.995,Table 3,4,geit,1,-0.099,-0.396,0.025,Table 3,"Butcher, P. A., and E. R. Williams. 2002. Variation in outcrossing rates and growth in Eucalyptus camaldulensis from the Petford Region, Queensland; Evidence of outbreeding depression. Silvae Genetica 51:6-12."
259,Butcher et al. 1992,1992,Myrtaceae,Melaleuca,alternifolia,Melaleuca  alternifolia,D,2,0,I,10,0,2,0.935,0.9,0.97,Table 6 (range for multi-locus estimate),2,,1,0.01,-0.02,0.04,Table 6,"Butcher PA, Bell JC, GF Moran. 1992. Patterns of genetic diversity and nature of the breeding system in Melaleuca alternifolia (Myrtaceae). Aust J Bot 40:365-375"
260,Chaix et al. 2003,2003,Myrtaceae,Eucalyptus,grandis,Eucalyptus  grandis,D,2,0,U,6,2,1,0.967,,,Table 3,,0,0,,,,,"Chaix, G., S. Gerber, V. Razafimaharo, P. Vigneron, D. Verhaegen, and S. Hamon. 2003. Gene flow estimation with microsatellites in a Malagasy seed orchard of Eucalyptus grandis. Theoretical and Applied Genetics 107:705-712."
261,Ellis & Sedgley 1993,1993,Myrtaceae,Eucalyptus,leucoxylon,Eucalyptus  leucoxylon,D,2,0,I,,0,1,0.89,0.64,1,Results,,,0,,,,,"Ellis MF, M Sedgley. 1993. Gynodioecy and male sterility in Eucalyptus leucoxylon F. Muell. (Myrtaceae). Int. J. of Plant Sci 154: 314-324"
262,Fripp 1982,1982,Myrtaceae,Eucalyptus,kitsoniana,Eucalyptus  kitsoniana,D,2,0,I,,0,2,0.765,0.75,0.78,Table 3,2,,1,0.08142857142857142,0.01,0.21,"Table 4 (F for progeny, averaged across the 4 loci)",Fripp YJ. 1982. Allozyme variation and mating system in two populations of Eucalyptus kitsoniana (Luehm.) Maiden. Aust For Res 13:1-10
263,Fripp et al. 1987,1987,Myrtaceae,Eucalyptus,regnans,Eucalyptus  regnans,D,2,0,I,,0,3,0.58,0.52,0.61,Table 2,,,0,,,,,"Fripp YJ, Griffin AR, GF Moran. 1987. Variation in allele frequencies in the outcross pollen pool of Eucalyptus regnans F. Muell. throughout a flowering season. Heredity 59:161-171"
264,Griffin et al. 1987,1987,Myrtaceae,Eucalyptus,regnans,Eucalyptus  regnans,D,2,0,I,6,2,1,0.56,,,Table 6 (range for open pollination multilocus estimate),,,0,,,,,"Griffin, A. R., G. F. Moran, and Y. J. Fripp. 1987. Preferential outcrossing in Eucalyptus regnans F. Muell. Australian Journal of Botany 35:465–475."
265,Hopper & Moran 1981,1981,Myrtaceae,Eucalyptus,stoatei,Eucalyptus  stoatei,D,2,0,I,,0,1,0.82,0.47,1.01,Table 6,,,0,,,,,"Hopper SD, GF Moran. 1981. Bird pollination and the mating system of Eucalyptus stoatei. Aust J Bot 29:625-638"
266,House & Bell 1994,1994,Myrtaceae,Eucalyptus,urophylla,Eucalyptus urophylla,D,2,0,I,13,0,2,0.9,,,Abstract,,,0,,,,,"House A.P.N., J.C. Bell. 1994. Isozyme variation and mating system in Eucalyptus urophylla ST Blake. Silvae Gen 43:167-76."
267,Kennington & James 1997,1997,Myrtaceae,Eucalyptus,argutifolia,Eucalyptus argutifolia,D,2,0,I,3,0,6,0.69,0.25,0.96,Table 2,6,,1,-0.058,-0.48,0.3,Table 3,"Kennington, W. J., and S. H. James. 1997. The effect of small population size on the mating systems of a rare clonal mallee, Eucalyptus argutifolia (Myrtaceae). Heredity 78:252–260."
268,McDonald et al. 2003,2003,Myrtaceae,Eucalyptus,cladocalyx,Eucalyptus  cladocalyx,D,2,0,I,8,0,4,0.57,0.44,0.66,Table 3,,,0,,,,,"McDonald, M. W., M. Rawlings, P. A. Butcher, and J. C. Bell. 2003. Regional divergence and inbreeding in Eucalyptus cladocalyx (Myrtaceae). Australian Journal of Botany 51:393-403."
269,Millar et al. 2000,2000,Myrtaceae,Eucalyptus,marginata,Eucalyptus  marginata,D,2,0,I,4,0,4,0.81,0.71,0.92,Table 2,4,,1,-0.35,-0.14,-0.57,Table 2,Millar et al. 2000
270,Moran & Brown 1980,1980,Myrtaceae,Eucalyptus,delegatensis,Eucalyptus  delegatensis,D,2,0,I,,2,1,0.77,0.66,0.85,Table 5 (range for multi-locus estimate),1,,1,0.15,0.13,0.21,Table 3 (estimation of Wright's fixation index),"Moran GF, AHD Brown. 1980. Temporal heterogeneity of outcrossing rates in alpine ash (Eucalyptus delegatensis R.T. Bak.). Theor Appl Genet 57:101-105"
271,Patterson et al. 2004,2004,Myrtaceae,Eucalyptus,globulus,Eucalyptus  globulus,D,2,0,I,5,2,1,0.597,,,Table 3,,,0,,,,,"Patterson, B., R. E. vaillancourt, D. J. Pilbeam, and B. M. Potts. 2004. factors affecting variation in outcrossing rate in Eucalyptus globulus. Australian Journal of Botany 52:773-780."
272,Peters et al. 1990,1990,Myrtaceae,Eucalyptus,pulverulenta,Eucalyptus  pulverulenta,D,2,0,I,,0,3,0.7,0.48,0.98,Abstract,,,0,,,,,"Peters, G. B., J. S. Lonie, and G. F. Moran. 1990. The breeding system, genetic diversity and pollen sterility in Eucalyptus pulverulenta, a rare species with small disjunct populations. Australian Journal of Botany 38:559-570."
273,Phillips & Brown 1977,1977,Myrtaceae,Eucalyptus,pauciflora,Eucalyptus  pauciflora,D,2,0,I,,0,3,0.64,0.62,0.67,??,,,0,,,,,"Phillips, M. A., and A. H. D. Brown. 1977. Mating system and hybridity in Eucalyptus pauciflora. Australian Journal of Biological Sciences 30:337-344."
274,Sampson et al. 1989,1989,Myrtaceae,Eucalyptus,rhodantha,Eucalyptus  rhodantha,D,2,0,I,4,0,2,0.63,0.59,0.67,Table 5 (range for multilocus estimate),2,,1,-0.12,-0.12,-0.12,Table 2 (estimates of F for progeny),"Sampson JF, Hopper SD, SH James. 1989. The mating system and population genetic structure in a bird-pollinated mallee, Eucalyptus rhodantha. Heredity 63: 383-393"
275,Telles et al. 2003,2003,Myrtaceae,Eugenia,dysenterica,Eugenia dysenterica,D,2,0,I,8,0,10,0.835,0.683,0.955,Table 3,,,0,,,,,"Telles, M. P. D., A. S. G. Coelho, L. J. Chaves, J. A. F. Diniz, and F. D. Valva. 2003. Genetic diversity and population structure of Eugenia dysenterica DC. (""cagaiteira""-Myrtaceae) in Central Brazil: Spatial analysis and implications for conservation and management. Conservation Genetics 4:685-695."
276,Yeh et al. 1983,1983,Myrtaceae,Eucalyptus,citriodora,Eucalyptus  citriodora,D,2,0,I,3,2,1,0.853,,,Table 3,1,,1,-0.3,,,Table 2,"Yeh FC, Brune A, Cheliak WM, DC Chipman. 1983. Mating system of Eucalyptus citriodora in a seed-production area. Can. J. For. Res. 13(6): 1051-1055"
277,Ishida & Hiura 2002,2002,Oleaceae,Fraxinus,lanuginosa,Fraxinus lanuginosa,D,2,1,I,3,0,4,0.86,0.69,0.99,Table 2 (range for multilocus estimate),5,,1,-0.0044,-0.056,0.101,Table 3,"Ishida K, T Hiura. 2002. Mating system and population genetic structure of an androdioecious tree, Fraxinus lanuginosa in northern Japan. Heredity 88:296-301"
278,Flores 1990,1990,Onagraceae,Ludwigia,peploides,Ludwigia peploides,D,0,0,I,,0,1,0.2,,,??,,,0,,,,,Flores 1990
279,Holtsford & Ellstrand,1989,Onagraceae,Clarkia,tembloriensis,Clarkia  tembloriensis,D,0,0,I,4,0,8,0.483,0.03,0.87,Table 5,8,,1,0.48,0.07,1,Table 5 (F of progeny),"Holtsford TP, NC Ellstrand. 1989. Variation in outcrossing rate and population genetic structure of Clarkia tembloriensis (Onagraceae). Theor Appl Genet 78:480-488"
280,Husband & Schemske 1995,1995,Onagraceae,Epilobium,angusifolium,Epilobium  angusifolium,D,1,0,I,2,0,1,0.94,,,Results,1,,1,-0.26,,,Results (mating system- parental inbreeding coefficient),"Husband BC, DW Schemske. 1995. . Magnitude and timing of inbreeding depression in a diploid population of Epilobium angustifolium (Onagraceae)"
281,Kelley & Latta 1998,1998,Onagraceae,Epilobium,anagallidifolium,Epilobium anagallidifolium,D,1,0,I,1,0,1,0,,,Results,1,,1,1,,,,"Kelley, S. T., and R. G. Latta. 1998. Evidence for high rates of self-fertilization in the alpine herb Epilobium anagallidifolium (Onagraceae). Canadian Journal of Botany 76:1978–1980."
282,Levin et al. 1979,1979,Onagraceae,Oenothera,organensis,Oenothera  organensis,D,1,0,I,1,0,7,1.0428,1,1.08,Table 4,7,,1,0.075,-0.2,0.59,Table 3 (estimates of F for adults and progeny),"Levin DA, Ritter K, NC Ellstrand. 1979. Protein polymorphism in the narrow endemic Oenothera organensis. Evolution 33(2):534-542"
283,Parker et al. 1995,1995,Onagraceae,Epilobium,angustifolium,Epilobium angustifolium,D,1,0,I,1,0,1,0.64,,,Results,,,0,,,,,"Parker, I. M., R. R. Nakamura, and D. W. Schemske. 1995. Reproductive allocation and the fitness consequences of selfing in 2 sympatric species of Epilobium (Onagraceae) with contrasting mating systems. American Journal of Botany 82:1007-1016."
284,"Levin et al. 1979, Parker et al. 1995","1979, 1995",Onagraceae,Epilobium,angusifolium,Epilobium  angusifolium,D,1,0,I,1.5,0,2,0.9924499999999999,0.64,0.94,"Table 4, Results",,,0,,,,,Species summary
285,Vasek & Harding 1976,1976,Onagraceae,Clarkia,exilis,Clarkia  exilis,D,0,0,F,1,0,4,0.52,0.38,0.89,??,,,0,,,,,"Vasek, F. C., and J. Harding. 1976. Outcrossing in natural populations. V. Analysis of outcrossing, inbreeding, and selection in Clarkia exilis and Clarkia trembloriensis. Evolution 30:403-411."
286,Vasek 1965,1965,Onagraceae,Clarkia,unguiculata,Clarkia  unguiculata,D,0,0,F,1,0,1,0.964,.,,Table 4 (delta estimate),,,0,,,,,Vasek FC. 1965. Outcrossing in natural populations. II. Clarkia unguiculata. Evolution 19:152-156
287,Ortiz-Barney & Ackerman 1999,1999,Orchidaceae,Encyclia,cochleata,Encyclia cochleata,M,1,0,I,,0,1,0.4,,,Abstract,,,0,,,,,"Ortiz-Barney, E., and J. D. Ackerman. 1999. The cost of selfing in Encyclia cochleata (Orchidaceae). Plant Systematics and Evolution 219:55-64."
288,Humphreys & Gale 1974,1974,Papaveraceae,Papaver,dubium,Papaver  dubium,D,0,0,F,,0,1,0.24,0.12,0.43999999999999995,Results/Table 2 (selfing rates),,,0,,,,,"Humphreys MO, JS Gale. 1974. Variation in wild populations of Papaver dubium. VIII. The mating system. Heredity 33:33-41"
289,Patra et al. 1992,1992,Papaveraceae,Papaver,somniferum,Papaver somniferum,D,0,0,M,,0,2,0.2203,0.1924,0.2482,Tables 1&2,,,0,,,,,"Patra NK, RS Ram, et al.. 1992. Quantitative studies on the mating system of opium poppy (Papaver somniferum L.). Theor Appl Genet 84(3-4):299-302"
290,Boyle & Morgenstern 1986,1986,Pinaceae,Picea,mariana,Picea  mariana,G,2,1,I,6,0,6,0.924,0.7,0.98,Abstract,,,0,,,,,"Boyle T.J.B., E.K. Morgenstern. 1986. Estimates of outcrossing rates in six populations of black spruce in central New Brunswick. Silvae Genet. 35: 102–106."
291,Boyle & Morgenstern 1987,1986,Pinaceae,Picea,mariana,Picea  mariana,G,2,1,I,,0,8,0.748075,0.7,0.98,"Tables 1&2, Abstract",,,0,,,,,Species summary
292,Boyle et al. 1991,1991,Pinaceae,Pinus,kesiya,Pinus  kesiya,G,2,1,I,,0,4,0.825,0.68,0.97,??,,,0,,,,,"Boyle T.J.B., Liengsiri C., C. Piewluang. 1991. Genetic studies in a tropical pine - Pinus kesiya. III. The mating system in four populations from northern Thailand. J. Tropical Forest Sci. 4:37-44."
293,Chaisurisri et al. 1994,1994,Pinaceae,Picea,sitchensis,Picea  sitchensis,G,2,1,I,5,2,1,0.923,,,Table 2,,,0,,,,,"Chaisurisri K, Mitton JB, YA El-Kassaby. 1994. Variation in the mating system of Sitka spruce (Picea sitchensis): evidence for partial assortative mating. Am J Bot 81:1410-1415"
294,Cheliak et al. 1985a,1985,Pinaceae,Picea,glauca,Picea  glauca,G,2,1,I,,0,1,0.7925,,,??,,,0,,,,,"Cheliak, W. M., J. A. Pitel, and G. Murray. 1985. Population structure and the mating system of white spruce. Canadian Journal of Forest Science 15:301-308."
295,"Chaisurisri et al. 1994, Cheliak et al. 1985a","1994, 1985",Pinaceae,Picea,glauca,Picea  glauca,G,2,1,I,,0,3,0.85775,0.793,0.793,"Table 2, ??",,,0,,,,,Species summary
296,Cheliak et al. 1985b,1985b,Pinaceae,Pinus,banksiana,Pinus  banksiana,G,2,1,I,4,0,1,0.88,,,Table 3 range for single-locus pooled means,1,,1,-0.06375,,,Table 1 (av of mature and filial population F values),"Cheliak WM, Dancik BP, Morgan K, Yeh FCH, C Strobeck. 1985b. Temporal variation of the mating system in a natural population of jack pine. Genetics 109:569-584"
297,El-Kassaby et al. 1981,1981,Pinaceae,Pseudotsuga,menziesii,Pseudotsuga  menziesii,G,2,1,I,,0,1,0.9,0.62,1.12,Table 2,,,0,,,,,"El-Kassaby YA, Yeh FC, O Sziklai. 1981. Estimation of the outcrossing rate of Douglas-Fir (Pseudotsuga menziesii (Mirb.) franco) using allozyme polymorphisms. Silvae Genetica 30:182-184"
298,El-Kassaby et al. 1987,1987,Pinaceae,Pinus,monticola,Pinus  monticola,G,2,1,I,,0,1,0.977,,,,,,0,,,,,El-Kassaby et al. 1987
299,"El-Kassaby et al. 1981, El-Kassaby et al. 1987","1981, 1987",Pinaceae,Pinus,monticola,Pinus  monticola,G,2,1,I,,0,2,0.9385,0.977,0.982,,,,0,,,,,Species summary
300,El-Kassaby et al. 1993,1993,Pinaceae,Pinus,monticola,Pinus  monticola,G,2,1,I,6,0,1,0.9823333333333334,,,,,,0,,,,,"El-Kassaby Y.A., Meagher M.D., R. Davidson. 1993. Temporal variation in the outcrossing rate in a natural stand of western white pine. Silvae Genetica 42: 131-135."
301,El-Kassaby et al. 2003,2003,Pinaceae,Aibes,amabilis,Aibes amabilis,G,2,1,I,9,1,4,0.808,0.796,0.837,Table 6,4,,1,0.141,,,,"El-Kassaby, Y. A., B. G. Dunsworth, and J. Krakowski. 2003. Genetic evaluation of alternative silvicultural systems in coastal montane forests: western hemlock and amabilis fir. Theoretical and Applied Genetics 107:598-610."
302,El-Kassaby et al. 2003,2003,Pinaceae,Tsuga,heterophylla,Tsuga heterophylla,G,2,1,I,11,1,4,0.9285,0.921,0.946,Table 6,4,,1,0.11,,,Table 2,"El-Kassaby, Y. A., B. G. Dunsworth, and J. Krakowski. 2003. Genetic evaluation of alternative silvicultural systems in coastal montane forests: western hemlock and amabilis fir. Theoretical and Applied Genetics 107:598-610."
303,Epperson & Allard 1984,1984,Pinaceae,Pinus,contorta,Pinus  contorta,G,2,1,I &M,7,0,2,1,0.94,1.06,Table 1 (range for multilocus estimate),2,,1,-0.02,-0.03,-0.01,Table 2 (mean of maternal and embryo F values),"Epperson BK, RW Allard. 1984. Allozyme analysis of the mating system in lodgepole pine populations. J. Heredity 75(3):212-214"
304,"El-Kassaby et al. 2003, Epperson & Allard 1984","2003, 1984",Pinaceae,Pinus,contorta,Pinus contorta,G,2,1,I &M,,0,5,0.9523333333333334,0.787,1.06,"Table 6, Table 1 (range for multilocus estimate)",,,0,,,,,Species summary
305,Fady & Westfall 1997,1997,Pinaceae,Abies,borisii,Abies borisii,G,2,1,I,7,0,1,0.952,,,Table 1,1,,1,-0.267,,,Table 2,"Fady, B., and R. D. Westfall. 1997. Mating system parameters in a natural population of Abies borisii regis Mattfeld. Annales Des Sciences Forestieres 54:643-647."
306,Farris & Mitton 1984,1984,Pinaceae,Pinus,ponderosa,Pinus  ponderosa,G,2,1,I,4,0,2,0.885,0.81,0.96,Table 1 (normal density stand),,,0,,,,,"Farris MA, JB Mitton. 1984. Population density, outcorssing rate, and heterozygote superiority in Ponderosa pine. Evolution 38(5):1151-1154"
307,"Fady & Westfall 1997, Farris & Mitton 1984","1997, 1984",Pinaceae,Pinus,ponderosa,Pinus  ponderosa,G,2,1,I,3.5,0,3,0.9073333333333333,0.81,0.96,"Table 1, Table 1 (normal density stand)",,,0,,,,,Species summary
308,Fowler 1962,1962,Pinaceae,Pinus,resinosa,Pinus  resinosa,G,2,1,M,,0,1,0.81,,,??,,,0,,,,,Fowler 1962
309,"Farris & Mitton 1984, Fady & Westfall 1997, Farris & Mitton 1984, Fowler 1962","1984, 1997, 1984, 1962",Pinaceae,Pinus,resinosa,Pinus  resinosa,G,2,1,M,,0,3,0.8836666666666666,0.81,0.81,"Table 1 (normal density stand), Table 1, Table 1 (normal density stand), ??",,,0,,,,,Species summary
310,Fowler 1965a,1965,Pinaceae,Pinus,resinosa,Pinus  resinosa,G,2,1,M,,0,1,0.81,,,??,,,0,,,,,"Fowler, D. P. 1965. Effects of inbreeding in red pine, Pinus resinosa Ait. II. Pollination studies. Silvae Genetica 14:12-23."
311,Fowler 1965b,1965,Pinaceae,Pinus,resinosa,Pinus  resinosa,G,2,1,M,,0,1,0.81,,,??,,,0,,,,,"Fowler, D. P. 1965. Effects of inbreeding in red pine, Pinus resinosa Ait. III. Factors affecting natural selfing. Silvae Genetica 14:37-46."
312,Furnier & Adams 1986,1986,Pinaceae,Pinus,jeffreyi,Pinus  jeffreyi,G,2,1,I,,0,5,0.935,0.881,0.971,Table 1 (range for multilocus estimate),5,,1,-0.0298,0.015,0.063,Table 2 (av of FIS),"Furnier GR, WT Adams. 1986. Mating system in natural populations of Jeffrey pine. Am J Bot 73(7):1002-1008"
313,Giannini et al. 1995,1995,Pinaceae,Abies,alba,Abies  alba,G,2,1,I &M,,0,10,0.8956000000000001,,,??,,,0,,,,,Giannini et al. 1995. J. Genetics & Breeding 48: 335-337.
314,"Furnier & Adams 1986, Giannini et al. 1995","1986, 1995",Pinaceae,Abies,alba,Abies  alba,G,2,1,I,,0,11,0.9087333333333335,0.89,0.896,"Table 1 (range for multilocus estimate), ??",,,0,,,,,Species summary
315,Gibson & Hamrick 1991,1991,Pinaceae,Pinus,pungens,Pinus  pungens,G,2,1,I,,0,1,1.12,0.98,1.39,Table 2,,,0,,,,,"Gibson JP, JL Hamrick. 1991. Heterogeneity in pollen allele frequencies among cones, whorls, and trees of Table Mountain pine (Pinus pungens). Am J Bot 78:1244-1251"
316,Guries & Ledig 1982,1982,Pinaceae,Pinus,rigida,Pinus  rigida,G,2,1,I,,0,11,0.95,,,Discussion (selfing rate estimated),11,,1,0.009,,,Table 3 (Fis),"Guries RP, FT Ledig. 1982. Genetic diversity and population structure in pitch pine (Pinus rigida Mill.). Evolution 36:387-402"
317,Innes & Ringius 1990,1990,Pinaceae,Picea,glauca,Picea  glauca,G,2,1,I,,0,2,0.7925,,,??,,,0,,,,,"Innes D.J., G.G. Ringius. 1990. Mating system and genetic structure of two populations of white spruce (Picea glauca) in eastern Newfoundland. Can J Bot 68:1661-1666."
318,Kärkkäinen & Savolainen 1993,1993,Pinaceae,Pinus,sylvestris,Pinus  sylvestris,G,2,1,M &  I,1,2,1,0.9538333333333332,0.88,1.23,Table 1 (experimental population),,,0,,,,,"Kärkkäinen K, O Savolainen. 1993. The degree of early inbreeding depression determines the selfing rate at the seed stage: model and results from Pinus sylvestris (Scots pine). Heredity 71:160-166"
319,"Innes & Ringius 1990, Kärkkäinen & Savolainen 1993","1990, 1993",Pinaceae,Pinus,sylvestris,Pinus  sylvestris,G,2,1,U&M,3,0&2,6,0.8462777777777778,0.748,1.23,"??, Table 1 (experimental population)",,,0,,,,,Species summary
320,Krakowski et al. 2003.,2003,Pinaceae,Pinus,albicaulis,Pinus albicaulis,G,2,1,I,9,0,2,0.729,0.722,0.736,Table 3,2,,1,-0.0085,-0.115,0.098,Table 1 - just 2 populations used for t,"Krakowski, J., S. N. Aitken, and Y. A. El-Kassaby. 2003. Inbreeding and conservation genetics in whitebark pine. Conservation Genetics 4:581-593."
321,Ledig et al. 2000,2000,Pinaceae,Picea,martínezii,Picea martínezii,G,2,1,I,9,0,2,0.518,0.399,0.637,Table 5,2,,1,0.0315,-0.058,0.121,Table 3,"Ledig, F. T., B. Bermejo-Velazquez, P. D. Hodgskiss, D. R. Johnson, C. Flores-Lopez, and V. Jacob-Cervantes. 2000. The mating system and genic diversity in Martinez spruce, an extremely rare endemic of Mexico's Sierra Madre Oriental: an example of facultative selfing and survival in interglacial refugia. Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere 30:1156-1164."
322,Ledig et al. 2001,2001,Pinaceae,Pinus,pinceana,Pinus  pinceana,G,2,1,I,12,0,3,0.87,0.836,0.897,Table 6,3,,1,0.0907,0.076,0.099,Table 3 - just the pops used for t,"Ledig, F. T., M. A. Capo-Arteaga, P. D. Hodgskiss, H. Sbay, C. Flores-Lopez, M. T. Conkle, and B. Bermejo-Velazquez. 2001. Genetic diversity and the mating system of a rare Mexican pinon, Pinus pinceana, and a comparison with Pinus maximartinezii (Pinaceae). American Journal of Botany 88:1977-1987."
323,Ledig et al. 2002,2002,Pinaceae,Picea,mexicana,Picea mexicana,G,2,1,I,5,0,3,0.677,0.59,0.807,Table 7,3,,1,-0.094,-0.185,0.007,Table 3,"Ledig, F. T., P. D. Hodgkiss, and V. Jacob-Cerevantes. 2002. Genetic diversity, mating system, and conservation of a Mexican subalpine relict, Picea mexicana Martínez. Conservation Genetics 3:113–122."
324,Lewandowski & Burczyk 2000,2000,Pinaceae,Pinus,cembra,Pinus cembra,G,2,1,I,3,0,1,0.808,,,Table 3,1,,1,0.014,,,Results,"Lewandowski, A., and J. Burczyk. 2000. Mating system and genetic diversity in natural populations of European larch (Larix decidua) and stone pine (Pinus cembra) located at higher elevations. Silvae Genetica 49:158-161."
325,Lian et al. 2001,2001,Pinaceae,Pinus,densiflora,Pinus  densiflora,G,2,1,U,,0,1,0.955,,,Abstract (av offspring outcrossing rate),,,0,,,,,"Lian C, Miwa M, T Hogetsu. 2001. Outcrossing and paternity analysis of Pinus densiflora (Japanese red pine) by microsatellite polymorphism. Heredity 87:88-98"
326,Lundquist 1979,1979,Pinaceae,Picea,abies,Picea abies,G,2,1,M,,0,4,0.9,,,??,,,0,,,,,"Lundquist, K. 1979. Allozyme frequency distributions in four Swedish populations of Norway spruce (Picea abies Ok.). I. Estimation of genetic variation within and among populations, genetic linkage and a mating system parameter. Hereditas 90:127-143."
327,"Lewandowski & Burczyk 2000, Lian et al. 2001, Lundquist 1979","2000, 2001, 1979",Pinaceae,Picea,abies,Picea  abies,G,2,1,I&M,,0&2,8,0.8938333333333333,0.9,0.98,"Table 3, Abstract (av offspring outcrossing rate), ??",,,0,,,,,Species summary
328,Matheson et al. 1989,1989,Pinaceae,Pinus,caribaea,Pinus  caribaea,G,2,1,I,,0,4,0.8975,0.85,0.93,??,,,0,,,,,"Matheson A.C., Bell J.C., R.D. Barnes. 1989. Breeding systems and genetic structure in some Central American pine populations. Silvae Genetica 38:107-113."
329,Matheson et al. 1989,1989,Pinaceae,Pinus,maximinoi,Pinus  maximinoi,G,2,1,I,13,0,1,0.65,,,??,,,0,,,,,"Matheson A.C., Bell J.C., R.D. Barnes. 1989. Breeding systems and genetic structure in some Central American pine populations. Silvae Genetica 38:107-113."
330,Matheson et al. 1989,1989,Pinaceae,Pinus,oocarpa,Pinus  oocarpa,G,2,1,I,13,0,5,0.874,0.81,0.96,??,,,0,,,,,"Matheson A.C., Bell J.C., R.D. Barnes. 1989. Breeding systems and genetic structure in some Central American pine populations. Silvae Genetica 38:107-113."
331,Mitton et al. 1981,1981,Pinaceae,Pinus,ponderosa,Pinus  ponderosa,G,2,1,I,3,0,1,0.94,,,Table 2,,,0,,,,,"Mitton JB, Linhart YB, Davis ML, KB Sturgeon. 1981. Estimation of outcrossing in Ponderosa pine, Pinus ponderosa Laws., from patterns of segregation of protein polymorphisms and from frequencies of albino seedlings. Silvae Genetica 30: 117-121"
332,Morgante et al. 1991,1991,Pinaceae,Picea,abies,Picea  abies,G,2,1,I,,0,2,0.9555,0.955,0.956,Abstract,,,0,,,,,"Morgante, M., G. G. Vendramin, and P. Rossi. 1991. Effects of Stand Density on Outcrossing Rate in 2 Norway Spruce (Picea abies) Populations. Canadian Journal of Botany 69:2704-2708."
333,Morgante et al. 1991,1991,Pinaceae,Picea,leucodermis,Picea  leucodermis,G,2,1,I,,0,2,0.802,0.765,0.84,??,,,0,,,,,"Morgante M., Rossi P., Vendramin G.G., G. Boscherini. 1994. Low level of outcrossing in Pinus leucodermis: futher evidences in artificial stand. Can. J. Bot. 72:1289-1293."
334,Morgante et al. 1994,1994,Pinaceae,Pinus,leucodermis,Pinus  leucodermis,G,2,1,I,5,1,2,0.7985,,,??,,,0,,,,,"Morgante M., Rossi P., Vendramin G.G., G. Boscherini. 1994. Low level of outcrossing in Pinus leucodermis: futher evidences in artificial stand. Can. J. Bot. 72:1289-1293."
335,Neale & Adams 1985,1985,Pinaceae,Pseudotsuga,menziesii,Pseudotsuga  menziesii,G,2,1,I,,0,4,0.965,0.94,1,Table 2 (range for multilocus estimate),,,0,,,,,"Neale DB, WT Adams. 1985. The mating system in natural shelterwood stands of Douglas fir. Theor Appl Genet 71:201-207"
