accepted_species,genus,family,n_islands,n_records
Zanthoxylum brachyacanthum,Zanthoxylum,Rutaceae,6,13
Pseudostellaria palibiniana,Pseudostellaria,Caryophyllaceae,28,545
Caucalis platycarpos,Caucalis,Apiaceae,17,664
Laportea canadensis,Laportea,Urticaceae,6,39
Scolopia luzonensis,Scolopia,Salicaceae,10,33
Ficus vasculosa,Ficus,Moraceae,12,213
Peperomia oliveri,Peperomia,Piperaceae,4,8
Stemodia durantifolia,Stemodia,Plantaginaceae,14,65
Meryta macrophylla,Meryta,Araliaceae,5,33
Solanum viride,Solanum,Solanaceae,11,19
Curcuma viridiflora,Curcuma,Zingiberaceae,3,8
Hosta lancifolia,Hosta,Asparagaceae,11,170
Planchonella petaloides,Planchonella,Sapotaceae,3,45
Begonia buimontana,Begonia,Begoniaceae,1,82
Atriplex patens,Atriplex,Amaranthaceae,19,83
Ipomoea repanda,Ipomoea,Convolvulaceae,10,171
Pandanus longecuspidatus,Pandanus,Pandanaceae,2,17
Campanula bravensis,Campanula,Campanulaceae,4,48
Castanopsis megacarpa,Castanopsis,Fagaceae,4,56
Rumex gmelinii,Rumex,Polygonaceae,12,46
Maytenus disticha,Maytenus,Celastraceae,3,53
Heliciopsis velutina,Heliciopsis,Proteaceae,2,21
Pedicularis groenlandica,Pedicularis,Orobanchaceae,9,11
Spyridium globulosum,Spyridium,Rhamnaceae,4,27
Aglaia euryanthera,Aglaia,Meliaceae,4,47
Cerinthe glabra,Cerinthe,Boraginaceae,6,47
Elaeocarpus curranii,Elaeocarpus,Elaeocarpaceae,2,5
Noronhia insularis,Noronhia,Oleaceae,3,24
Diospyros domingensis,Diospyros,Ebenaceae,2,37
Sedum stellatum,Sedum,Crassulaceae,5,22
Gentianella antipoda,Gentianella,Gentianaceae,3,28
Semecarpus magnificus,Semecarpus,Anacardiaceae,3,114
Cissus cardiophylla,Vitis,Vitaceae,4,4
Viola stipularis,Viola,Violaceae,5,77
Hopea cagayanensis,Hopea,Dipterocarpaceae,3,4
Rhodocolea racemosa,Rhodocolea,Bignoniaceae,2,267
Myristica umbrosa,Myristica,Myristicaceae,2,34
Allium cyrilli,Allium,Amaryllidaceae,6,6
Corallocarpus schimperi,Corallocarpus,Cucurbitaceae,3,16
Epilobium schmidtianum,Epilobium,Onagraceae,5,35
Stigmaphyllon solomonense,Stigmaphyllon,Malpighiaceae,2,7
Dendrophthoe longituba,Dendrophthoe,Loranthaceae,2,30
Crocus longiflorus,Crocus,Iridaceae,5,141
Gonystylus borneensis,Gonystylus,Thymelaeaceae,2,50
Harrisia gracilis,Harrisia,Cactaceae,3,18
Garcinia memecyloides,Garcinia,Clusiaceae,2,6
Limonium protohermaeum,Limonium,Plumbaginaceae,2,9
Tillandsia deppeana,Tillandsia,Bromeliaceae,2,25
Polygala arillata,Polygala,Polygalaceae,2,11
Aloe macroclada,Aloe,Asphodelaceae,1,82
Protium glabrum,Protium,Burseraceae,2,3
Lonicera ruprechtiana,Lonicera,Caprifoliaceae,4,16
Impatiens benitae,Impatiens,Balsaminaceae,1,7
Juncus continuus,Juncus,Juncaceae,8,28
Pterophylla humblotii,Pterophylla,Cunoniaceae,1,92
Asarum taipingshanianum,Asarum,Aristolochiaceae,1,46
Commelina latifolia,Commelina,Commelinaceae,2,6
Boykinia lycoctonifolia,Boykinia,Saxifragaceae,3,264
Hypericum drummondii,Hypericum,Hypericaceae,2,3
Verbascum mykales,Verbascum,Scrophulariaceae,2,5
Terminalia ankaranensis,Terminalia,Combretaceae,1,129
Dicentra canadensis,Dicentra,Papaveraceae,3,8
Saurauia distasosa,Saurauia,Actinidiaceae,1,3
Pelargonium fragrans,Pelargonium,Geraniaceae,2,7
Mammea eugenioides,Mammea,Calophyllaceae,1,15
Ilex yurumanguinis,Ilex,Aquifoliaceae,1,12
Cleyera bolleana,Cleyera,Pentaphylacaceae,1,5
Hibbertia setifera,Hibbertia,Dilleniaceae,1,97
Triclisia jumelliana,Triclisia,Menispermaceae,1,21
